"close","high","low","open","startTime","time","volume"
44523,45490,41322,41840.5,"2021-01-14T00:00:00+00:00",1610582400000,7315236.6275
41993,45205,38500,44523,"2021-01-15T00:00:00+00:00",1610668800000,2753480.5074
40935,43456,39537,41993,"2021-01-16T00:00:00+00:00",1610755200000,3768861.2002
40588,41743,37500,40935,"2021-01-17T00:00:00+00:00",1610841600000,1423276.4863
42145,42864,39341,40644,"2021-01-18T00:00:00+00:00",1610928000000,1664325.2169
40895,44036,40895,42145,"2021-01-19T00:00:00+00:00",1611014400000,5013386.9287
39964,41516,37116,40895,"2021-01-20T00:00:00+00:00",1611100800000,6480583.3072
33599,40019,32900,39964,"2021-01-21T00:00:00+00:00",1611187200000,7424734.0552
36505,37132,31773,33599,"2021-01-22T00:00:00+00:00",1611273600000,5683123.172
35607,37179,34652,36505,"2021-01-23T00:00:00+00:00",1611360000000,614379.3044
35948,37141,34200,35607,"2021-01-24T00:00:00+00:00",1611446400000,1103583.4852
35796,39343,35583,35948,"2021-01-25T00:00:00+00:00",1611532800000,1353663.7279
35801,36496,33678,35796,"2021-01-26T00:00:00+00:00",1611619200000,4114161.4152
32921,35885,31654,35801,"2021-01-27T00:00:00+00:00",1611705600000,4834030.2981
36622,36996,32351,32921,"2021-01-28T00:00:00+00:00",1611792000000,1520613.1537
38695,44916,35281,36622,"2021-01-29T00:00:00+00:00",1611878400000,13306699.2913
37953,39320,36169,38695,"2021-01-30T00:00:00+00:00",1611964800000,4666490.8439
36409,38038,35082,37953,"2021-01-31T00:00:00+00:00",1612051200000,1696703.1774
37314,38943,35455,36409,"2021-02-01T00:00:00+00:00",1612137600000,7352853.6059
40548,41083,37238,37314,"2021-02-02T00:00:00+00:00",1612224000000,4545203.5743
43346,43346,40465,40548,"2021-02-03T00:00:00+00:00",1612310400000,8713377.5483
42406,45423,41651,43346,"2021-02-04T00:00:00+00:00",1612396800000,5327600.6112
44009,44479,41962,42406,"2021-02-05T00:00:00+00:00",1612483200000,4024342.0206
45704,47436,43859,44009,"2021-02-06T00:00:00+00:00",1612569600000,5450465.208
44040,46150,41968,45704,"2021-02-07T00:00:00+00:00",1612656000000,8509171.1247
54624,54980,43083,44041,"2021-02-08T00:00:00+00:00",1612742400000,17847547.4451
54663,57558,53140,54624,"2021-02-09T00:00:00+00:00",1612828800000,12062611.5043
52358,56514,51294,54663,"2021-02-10T00:00:00+00:00",1612915200000,10593658.2313
56485,57450,51233,52358,"2021-02-11T00:00:00+00:00",1613001600000,10092288.1658
55827,57840,54278,56485,"2021-02-12T00:00:00+00:00",1613088000000,7587420.607
55422,57380,53805,55827,"2021-02-13T00:00:00+00:00",1613174400000,6036054.3295
57355,59634,55297,55422,"2021-02-14T00:00:00+00:00",1613260800000,8095029.7363
56706,57693,52400,57355,"2021-02-15T00:00:00+00:00",1613347200000,9310015.8025
56997,61849,55326,56706,"2021-02-16T00:00:00+00:00",1613433600000,15139244.1182
