"close","high","low","open","startTime","time","volume"
43195,44224,40391,40965.5,"2021-01-14T00:00:00+00:00",1610582400000,1878883.7544
39804,43936,38021,43195,"2021-01-15T00:00:00+00:00",1610668800000,7168710.7265
39437,41047,38875,39804,"2021-01-16T00:00:00+00:00",1610755200000,12388783.8267
39017,40088,36666,39437,"2021-01-17T00:00:00+00:00",1610841600000,5950006.3667
40473,41173,37857,39017,"2021-01-18T00:00:00+00:00",1610928000000,2387369.9845
39572,42219,39443,40473,"2021-01-19T00:00:00+00:00",1611014400000,1918395.2253
38671,40047,36150,39572,"2021-01-20T00:00:00+00:00",1611100800000,1593791.7128
32926,38766,32156,38671,"2021-01-21T00:00:00+00:00",1611187200000,4577728.5647
35647,36415,31035,32926,"2021-01-22T00:00:00+00:00",1611273600000,3966120.1754
34747,36280,33923,35647,"2021-01-23T00:00:00+00:00",1611360000000,592257.8618
34941,36133,33364,34747,"2021-01-24T00:00:00+00:00",1611446400000,1849167.206
35041,38255,34681,34941,"2021-01-25T00:00:00+00:00",1611532800000,1617854.7357
34845,35634,32888,35041,"2021-01-26T00:00:00+00:00",1611619200000,2550788.7331
32164,34935,30959,34845,"2021-01-27T00:00:00+00:00",1611705600000,4825394.5102
35646,35998,31609,32164,"2021-01-28T00:00:00+00:00",1611792000000,1831013.9302
37553,42926,34421,35646,"2021-01-29T00:00:00+00:00",1611878400000,13166064.839
37156,38313,35496,37553,"2021-01-30T00:00:00+00:00",1611964800000,1890516.6013
35622,37206,34556,37156,"2021-01-31T00:00:00+00:00",1612051200000,1443266.1708
36366,37887,34763,35622,"2021-02-01T00:00:00+00:00",1612137600000,2522290.058
39011,39517,36275,36366,"2021-02-02T00:00:00+00:00",1612224000000,5911255.7307
41532,41591,38909,39011,"2021-02-03T00:00:00+00:00",1612310400000,7616441.2842
40726,42967,39957,41532,"2021-02-04T00:00:00+00:00",1612396800000,1772375.8281
42248,42602,40328,40726,"2021-02-05T00:00:00+00:00",1612483200000,3286427.7858
43789,45544,42211,42248,"2021-02-06T00:00:00+00:00",1612569600000,4359059.7408
42590,44256,40846,43789,"2021-02-07T00:00:00+00:00",1612656000000,2842380.9531
52195,52755,41554,42590,"2021-02-08T00:00:00+00:00",1612742400000,11226577.6253
52281,54677,50974,52195,"2021-02-09T00:00:00+00:00",1612828800000,6017052.8365
50174,53591,49105,52281,"2021-02-10T00:00:00+00:00",1612915200000,4884477.5643
54084,54925,49185,50174,"2021-02-11T00:00:00+00:00",1613001600000,4107411.1579
53622,55298,51992,54084,"2021-02-12T00:00:00+00:00",1613088000000,3210896.7626
53453,54884,52011,53622,"2021-02-13T00:00:00+00:00",1613174400000,5786820.7654
55342,57465,53275,53438,"2021-02-14T00:00:00+00:00",1613260800000,3535312.2012
54711,55825,51956,55342,"2021-02-15T00:00:00+00:00",1613347200000,13602465.9312
55332,58854,53507,54711,"2021-02-16T00:00:00+00:00",1613433600000,10326155.2714
