"close","high","low","open","startTime","time","volume"
1385.7,1399.1,1223.65,1269.2,"2021-01-14T00:00:00+00:00",1610582400000,949459.503
1317.1,1418,1220,1385.7,"2021-01-15T00:00:00+00:00",1610668800000,3960601.9648
1395.3,1518.3,1301.9,1317.1,"2021-01-16T00:00:00+00:00",1610755200000,1227478.9663
1402.9,1437.5,1301.5,1395,"2021-01-17T00:00:00+00:00",1610841600000,588939.2602
1445.4,1446.1,1330,1402.9,"2021-01-18T00:00:00+00:00",1610928000000,300320.1382
1566.4,1689.1,1434.6,1445.4,"2021-01-19T00:00:00+00:00",1611014400000,5123119.7446
1551.5,1606.9,1322,1566.4,"2021-01-20T00:00:00+00:00",1611100800000,3601013.039
1257.7,1561.6,1217,1551.5,"2021-01-21T00:00:00+00:00",1611187200000,4672289.8967
1393.9,1485.8,1156.2,1257.7,"2021-01-22T00:00:00+00:00",1611273600000,4561263.5873
1403.2,1456.6,1288.3,1393.9,"2021-01-23T00:00:00+00:00",1611360000000,1760581.1131
1589.6,1596.3,1393.4,1403.2,"2021-01-24T00:00:00+00:00",1611446400000,1287420.3583
1490,1714.5,1463.4,1586.6,"2021-01-25T00:00:00+00:00",1611532800000,2602851.5347
1528.9,1555.9,1382,1490,"2021-01-26T00:00:00+00:00",1611619200000,1687578.8276
1358.3,1536.5,1315.5,1532.7,"2021-01-27T00:00:00+00:00",1611705600000,5335102.1229
1484,1522.5,1332.1,1358.3,"2021-01-28T00:00:00+00:00",1611792000000,1673009.1792
1575.4,1674.9,1445,1484,"2021-01-29T00:00:00+00:00",1611878400000,12744489.9739
1557.4,1604.9,1474.5,1575.4,"2021-01-30T00:00:00+00:00",1611964800000,1512868.9852
1468.3,1565.8,1418.9,1557.4,"2021-01-31T00:00:00+00:00",1612051200000,2332304.9103
1550.4,1554,1410,1468.3,"2021-02-01T00:00:00+00:00",1612137600000,2551898.5324
1778.6,1819.4,1546.9,1550.4,"2021-02-02T00:00:00+00:00",1612224000000,8209046.8018
1953.7,1971.8,1772.1,1778.6,"2021-02-03T00:00:00+00:00",1612310400000,8022298.0302
1866.7,2021.5,1800,1953.7,"2021-02-04T00:00:00+00:00",1612396800000,5197481.4822
2015.3,2081.2,1857.7,1866.7,"2021-02-05T00:00:00+00:00",1612483200000,3033553.8279
1974.1,2042.5,1876.2,2014.3,"2021-02-06T00:00:00+00:00",1612569600000,4415356.4113
1836.6,1991.8,1666,1974.1,"2021-02-07T00:00:00+00:00",1612656000000,8437868.5064
2099.9,2111.9,1785.8,1836.6,"2021-02-08T00:00:00+00:00",1612742400000,6235333.7588
2111.8,2209.6,2038.1,2099.9,"2021-02-09T00:00:00+00:00",1612828800000,3100047.8885
2050.7,2220.4,1974.2,2111.8,"2021-02-10T00:00:00+00:00",1612915200000,4300355.7925
2122.7,2164.7,1994.2,2050.7,"2021-02-11T00:00:00+00:00",1613001600000,1801578.8966
2215.1,2253,2067.5,2122.6,"2021-02-12T00:00:00+00:00",1613088000000,2246027.3454
2165.4,2279.7,2082.1,2215.1,"2021-02-13T00:00:00+00:00",1613174400000,2548199.4076
2157.1,2250,2131.1,2165.4,"2021-02-14T00:00:00+00:00",1613260800000,1638555.152
2126.2,2199.2,1945.1,2157.1,"2021-02-15T00:00:00+00:00",1613347200000,7126566.4017
2080.8,2236.7,2038.7,2126.2,"2021-02-16T00:00:00+00:00",1613433600000,2791283.4818
