"close","high","low","open","startTime","time","volume"
10700,10712.5,10234.5,10549.5,"2020-09-11T00:00:00+00:00",1599782400000,2389839.14225
10798,10833,10583,10701,"2020-09-12T00:00:00+00:00",1599868800000,531740.3379
10650,10963,10548,10799,"2020-09-13T00:00:00+00:00",1599955200000,4198460.1496
11077,11152,10562.5,10649.5,"2020-09-14T00:00:00+00:00",1600041600000,3833778.91725
11247.5,11397,11052,11077,"2020-09-15T00:00:00+00:00",1600128000000,3846770.44445
11419,11592,11087,11247,"2020-09-16T00:00:00+00:00",1600214400000,3511527.9611
11442.5,11524,11253.5,11419,"2020-09-17T00:00:00+00:00",1600300800000,4160334.50395
11432,11588,11276,11442.5,"2020-09-18T00:00:00+00:00",1600387200000,11316489.23165
11620,11730.5,11390,11432,"2020-09-19T00:00:00+00:00",1600473600000,1110190.42645
11402,11620,11250.5,11620,"2020-09-20T00:00:00+00:00",1600560000000,4125919.4964
10808,11490,10714.5,11402,"2020-09-21T00:00:00+00:00",1600646400000,2923785.1169
10907,10963,10714.5,10808,"2020-09-22T00:00:00+00:00",1600732800000,2880724.19285
10598.5,10924.5,10478.5,10907,"2020-09-23T00:00:00+00:00",1600819200000,1539067.13985
11130.5,11204,10549.5,10598.5,"2020-09-24T00:00:00+00:00",1600905600000,1756461.4643
11037,11157,10882.5,11132,"2020-09-25T00:00:00+00:00",1600992000000,5192989.77715
11097.5,11196,10993,11037,"2020-09-26T00:00:00+00:00",1601078400000,2557248.454
11183,11186,10981.5,11097.5,"2020-09-27T00:00:00+00:00",1601164800000,3084593.86025
11016.5,11371.5,10949,11183,"2020-09-28T00:00:00+00:00",1601251200000,11640316.7046
11171.5,11195,10934.5,11016.5,"2020-09-29T00:00:00+00:00",1601337600000,2608492.19655
11108,11178.5,10982,11171.5,"2020-09-30T00:00:00+00:00",1601424000000,1481041.7726
10979,11303,10785,11108,"2020-10-01T00:00:00+00:00",1601510400000,6149485.24205
10926,11023,10673,10979,"2020-10-02T00:00:00+00:00",1601596800000,14653403.6276
10886,10954,10850,10926,"2020-10-03T00:00:00+00:00",1601683200000,746445.9029
11042,11072.5,10865,10886,"2020-10-04T00:00:00+00:00",1601769600000,2547875.63945
11181,11189.5,10985,11042,"2020-10-05T00:00:00+00:00",1601856000000,4517506.0809
10968.5,11209,10891,11181,"2020-10-06T00:00:00+00:00",1601942400000,11277127.68395
11045.5,11055,10912,10968.5,"2020-10-07T00:00:00+00:00",1602028800000,9307913.54905
11319.5,11341,10894,11045.5,"2020-10-08T00:00:00+00:00",1602115200000,4121738.1115
11468,11525,11231,11319.5,"2020-10-09T00:00:00+00:00",1602201600000,8276372.07105
11737.5,11925,11468,11468,"2020-10-10T00:00:00+00:00",1602288000000,5526801.14485
11836,11910.5,11725,11737.5,"2020-10-11T00:00:00+00:00",1602374400000,1175071.58675
12079.5,12251,11637.5,11836,"2020-10-12T00:00:00+00:00",1602460800000,15901039.5386
11915.5,12086.5,11816.5,12079.5,"2020-10-13T00:00:00+00:00",1602547200000,5659738.95885
11899.5,12099.5,11778.5,11915.5,"2020-10-14T00:00:00+00:00",1602633600000,11044002.747
11982.5,12095,11741,11899.5,"2020-10-15T00:00:00+00:00",1602720000000,4091792.54405
11751.5,12022.5,11557.5,11982.5,"2020-10-16T00:00:00+00:00",1602806400000,17481273.6961
11780.5,11833,11662,11751.5,"2020-10-17T00:00:00+00:00",1602892800000,6082476.5857
11955,11957,11763.5,11780.5,"2020-10-18T00:00:00+00:00",1602979200000,855918.70585
12256,12458,11837,11955,"2020-10-19T00:00:00+00:00",1603065600000,18812044.28925
12441,12631,12168.5,12256,"2020-10-20T00:00:00+00:00",1603152000000,9469102.8905
13376.5,13833.5,12415.5,12441,"2020-10-21T00:00:00+00:00",1603238400000,21236509.8199
