"close","high","low","open","startTime","time","volume"
19301,19903.5,18041.75,18076.25,"2020-11-29T00:00:00+00:00",1606608000000,8950271.6403
21212,21647.5,19301,19301,"2020-11-30T00:00:00+00:00",1606694400000,25526394.43
19955,21570,19313.5,21212,"2020-12-01T00:00:00+00:00",1606780800000,11819658.632
20492.5,20604,19404.5,19942,"2020-12-02T00:00:00+00:00",1606867200000,5247948.7217
20807,21036,20128,20492.5,"2020-12-03T00:00:00+00:00",1606953600000,3036532.1278
19795,20910,19711.5,20807,"2020-12-04T00:00:00+00:00",1607040000000,4243789.98915
20400,20442.5,19630,19795,"2020-12-05T00:00:00+00:00",1607126400000,656363.97145
20599.5,20661.5,20042,20402,"2020-12-06T00:00:00+00:00",1607212800000,1204024.4005
20363.5,20680,20042,20599.5,"2020-12-07T00:00:00+00:00",1607299200000,1463340.0097
19283,20537.5,19215,20363.5,"2020-12-08T00:00:00+00:00",1607385600000,5098805.66725
19478.5,19575,18525.5,19283,"2020-12-09T00:00:00+00:00",1607472000000,6330768.47605
19154,19499,18778,19478.5,"2020-12-10T00:00:00+00:00",1607558400000,3179195.50635
18816.5,19207.5,18311,19154,"2020-12-11T00:00:00+00:00",1607644800000,12740913.81545
19693,19871.5,18795,18816.5,"2020-12-12T00:00:00+00:00",1607731200000,3112877.80595
20293,20552.5,19604,19685,"2020-12-13T00:00:00+00:00",1607817600000,5265765.7319
20415.5,20487.5,20107.5,20293,"2020-12-14T00:00:00+00:00",1607904000000,1787895.9958
20609,20842,20189,20415.5,"2020-12-15T00:00:00+00:00",1607990400000,3557588.96545
22901.5,23191,20472,20609,"2020-12-16T00:00:00+00:00",1608076800000,26171733.1549
24420,25426.5,22585,22901.5,"2020-12-17T00:00:00+00:00",1608163200000,18284831.36835
24836.5,25000,24024,24420,"2020-12-18T00:00:00+00:00",1608249600000,4129269.41425
25909.5,26295.5,24439,24836.5,"2020-12-19T00:00:00+00:00",1608336000000,13196461.7672
25390,26351.5,24881.5,25909.5,"2020-12-20T00:00:00+00:00",1608422400000,7308862.25795
24300,26192,23534,25390,"2020-12-21T00:00:00+00:00",1608508800000,11073721.07995
25666.5,25685.5,23878.5,24300,"2020-12-22T00:00:00+00:00",1608595200000,4561454.7858
24851.5,25986.5,24100,25666.5,"2020-12-23T00:00:00+00:00",1608681600000,7648106.0518
25529.5,25594.5,24209,24851.5,"2020-12-24T00:00:00+00:00",1608768000000,6945551.3323
26604.5,26883,25202,25529.5,"2020-12-25T00:00:00+00:00",1608854400000,18676386.0472
28698.5,29145,26373.5,26604.5,"2020-12-26T00:00:00+00:00",1608940800000,20403883.15705
28659,31088.5,28176,28698.5,"2020-12-27T00:00:00+00:00",1609027200000,54599881.8068
29423,30000,28450,28659,"2020-12-28T00:00:00+00:00",1609113600000,31144175.703
29600,29638.5,27982,29423,"2020-12-29T00:00:00+00:00",1609200000000,20970444.0298
31201.5,31601,29593.5,29600,"2020-12-30T00:00:00+00:00",1609286400000,21538121.8502
30891.5,31754.5,30025,31201.5,"2020-12-31T00:00:00+00:00",1609372800000,44641479.7577
