"close","high","low","open","startTime","time","volume"
42062,42174,41322,41625,"2021-01-14T04:00:00+00:00",1610596800000,84000
42217,42640,41976,42062,"2021-01-14T05:00:00+00:00",1610600400000,686462.3834
42685,43040,42172,42217,"2021-01-14T06:00:00+00:00",1610604000000,1193891.5089
43291,43617,42552,42685,"2021-01-14T07:00:00+00:00",1610607600000,602194.2935
43240,44002,43236,43291,"2021-01-14T08:00:00+00:00",1610611200000,913637.5125
42838,43296,42838,43240,"2021-01-14T09:00:00+00:00",1610614800000,14288.1868
43270,43308,42789,42838,"2021-01-14T10:00:00+00:00",1610618400000,4028.117
43136,43820,42833,43252,"2021-01-14T11:00:00+00:00",1610622000000,120225.8117
42948,43186,42385,43136,"2021-01-14T12:00:00+00:00",1610625600000,23991.5263
43901,44038,42891,42948,"2021-01-14T13:00:00+00:00",1610629200000,1165040.5069
44589,44722,43743,43901,"2021-01-14T14:00:00+00:00",1610632800000,1801766.2356
44864,45459,44430,44589,"2021-01-14T15:00:00+00:00",1610636400000,247554.1414
44554,45490,44497,44864,"2021-01-14T16:00:00+00:00",1610640000000,334049.5192
44712,45134,44554,44554,"2021-01-14T17:00:00+00:00",1610643600000,24995.7988
44500,44794,44389,44712,"2021-01-14T18:00:00+00:00",1610647200000,17918.7406
45129,45174,44469,44500,"2021-01-14T19:00:00+00:00",1610650800000,6395.7258
44516,45192,44502,45129,"2021-01-14T20:00:00+00:00",1610654400000,10212.1863
44053,44573,43437,44516,"2021-01-14T21:00:00+00:00",1610658000000,33784.4012
44346,44444,43641,44053,"2021-01-14T22:00:00+00:00",1610661600000,8843.855
44523,44603,43929,44346,"2021-01-14T23:00:00+00:00",1610665200000,21956.1766
44900,45205,44452,44523,"2021-01-15T00:00:00+00:00",1610668800000,19141.7567
44617,45182,44542,44900,"2021-01-15T01:00:00+00:00",1610672400000,113981.3415
44814,45097,44360,44617,"2021-01-15T02:00:00+00:00",1610676000000,12015.1071
44060,44865,43785,44814,"2021-01-15T03:00:00+00:00",1610679600000,27169.1378
43717,44109,43666,44060,"2021-01-15T04:00:00+00:00",1610683200000,22396.6843
42918,44199,42911,43717,"2021-01-15T05:00:00+00:00",1610686800000,196696.4693
43084,43166,42613,42918,"2021-01-15T06:00:00+00:00",1610690400000,24149.1887
