"close","high","low","open","startTime","time","volume"
1325.37,1361.93,1315.06,1325.015,"2021-01-07T05:00:00+00:00",1609995600000,3347752.63073
1311.67,1329.61,1295.92,1325.37,"2021-01-07T06:00:00+00:00",1609999200000,1065714.10898
1294.68,1317.51,1287.71,1311.67,"2021-01-07T07:00:00+00:00",1610002800000,411278.5023
1303.24,1307.37,1263.7,1294.68,"2021-01-07T08:00:00+00:00",1610006400000,863315.37864
1314.5,1314.5,1285.83,1303.24,"2021-01-07T09:00:00+00:00",1610010000000,59817.453
1287.67,1314.86,1286.89,1314.5,"2021-01-07T10:00:00+00:00",1610013600000,43472.25913
1311.55,1315.68,1287.33,1287.67,"2021-01-07T11:00:00+00:00",1610017200000,63183.90654
1339.23,1340.79,1307.67,1311.55,"2021-01-07T12:00:00+00:00",1610020800000,163084.6143
1328.1,1344.63,1318.86,1339.23,"2021-01-07T13:00:00+00:00",1610024400000,114870.44996
1332.04,1339.57,1323.65,1328.1,"2021-01-07T14:00:00+00:00",1610028000000,100396.4018
1364.27,1366.68,1324.99,1332.04,"2021-01-07T15:00:00+00:00",1610031600000,292785.64008
1385.64,1393.32,1351.31,1364.21,"2021-01-07T16:00:00+00:00",1610035200000,7719982.1461
1393.56,1401.86,1380.84,1385.64,"2021-01-07T17:00:00+00:00",1610038800000,614279.53869
1335.01,1426.4,1259.41,1393.56,"2021-01-07T18:00:00+00:00",1610042400000,1920357.07525
1348.06,1366.66,1281.33,1335.01,"2021-01-07T19:00:00+00:00",1610046000000,1106531.78212
1360.24,1362.36,1336.15,1348.06,"2021-01-07T20:00:00+00:00",1610049600000,171097.67111
1369.89,1389.59,1354.04,1360.24,"2021-01-07T21:00:00+00:00",1610053200000,407342.21292
1361.47,1377.71,1355.27,1369.89,"2021-01-07T22:00:00+00:00",1610056800000,66281.91236
1340.31,1361.77,1314.51,1361.47,"2021-01-07T23:00:00+00:00",1610060400000,919173.09752
1293.19,1349.86,1293.19,1340.31,"2021-01-08T00:00:00+00:00",1610064000000,114806.20913
1292.78,1308,1266.76,1293.19,"2021-01-08T01:00:00+00:00",1610067600000,272214.25597
1204.57,1293.11,1153.18,1292.78,"2021-01-08T02:00:00+00:00",1610071200000,4848350.53136
1249.79,1258.76,1193.19,1204.01,"2021-01-08T03:00:00+00:00",1610074800000,768389.00051
1266.92,1280.5,1239.57,1249.79,"2021-01-08T04:00:00+00:00",1610078400000,1039592.04253
1245.1,1271.69,1235.66,1266.92,"2021-01-08T05:00:00+00:00",1610082000000,213270.6104
1276.07,1284.59,1220.25,1245.1,"2021-01-08T06:00:00+00:00",1610085600000,429890.38549
1312.91,1321.36,1265.45,1276.07,"2021-01-08T07:00:00+00:00",1610089200000,442564.94426
1303.4,1314.5,1288,1313.38,"2021-01-08T08:00:00+00:00",1610092800000,213195.93506
1330.21,1332,1289.76,1303.4,"2021-01-08T09:00:00+00:00",1610096400000,342718.50582
1370.65,1389.91,1325.25,1330.21,"2021-01-08T10:00:00+00:00",1610100000000,1165533.62874
1377.1,1388.64,1361.54,1370.65,"2021-01-08T11:00:00+00:00",1610103600000,110874.82805
1371.53,1401.07,1339.44,1377.1,"2021-01-08T12:00:00+00:00",1610107200000,1283771.30184
1373.67,1379.39,1340.41,1371.53,"2021-01-08T13:00:00+00:00",1610110800000,85844.2506
1384.12,1384.12,1357.86,1373.67,"2021-01-08T14:00:00+00:00",1610114400000,149899.76506
1329.35,1395.56,1284.52,1384.12,"2021-01-08T15:00:00+00:00",1610118000000,742205.19354
1346,1360.77,1312.13,1329.35,"2021-01-08T16:00:00+00:00",1610121600000,134899.51378
1328.95,1353.67,1322.25,1346,"2021-01-08T17:00:00+00:00",1610125200000,612472.1171
1288.51,1333.61,1277.89,1328.95,"2021-01-08T18:00:00+00:00",1610128800000,675298.17206
1289.9,1309.23,1284,1289.41,"2021-01-08T19:00:00+00:00",1610132400000,22546.50878
1245.5,1298.7,1244.3,1289.9,"2021-01-08T20:00:00+00:00",1610136000000,544412.2578
1295.5,1296,1235.4,1245.5,"2021-01-08T21:00:00+00:00",1610139600000,64412.7718
1324,1328.2,1263.2,1295.5,"2021-01-08T22:00:00+00:00",1610143200000,62954.5554
1326.5,1336.9,1316.7,1324,"2021-01-08T23:00:00+00:00",1610146800000,34517.2747
1305.8,1344.8,1291,1326.5,"2021-01-09T00:00:00+00:00",1610150400000,55678.5095
1304.1,1305.8,1276.2,1305.8,"2021-01-09T01:00:00+00:00",1610154000000,94403.6917
1305.3,1316,1283.7,1304.1,"2021-01-09T02:00:00+00:00",1610157600000,25145.3935
1337.5,1343.1,1298.8,1305.3,"2021-01-09T03:00:00+00:00",1610161200000,122157.6357
1329.2,1337.5,1316.8,1337.5,"2021-01-09T04:00:00+00:00",1610164800000,11691.1805
1284.8,1329.2,1280.5,1329.2,"2021-01-09T05:00:00+00:00",1610168400000,335080.7733
1280,1296.9,1276.4,1284.4,"2021-01-09T06:00:00+00:00",1610172000000,17067.788
1296.7,1300.7,1271.6,1280,"2021-01-09T07:00:00+00:00",1610175600000,24761.3493
1306.7,1313.8,1284.4,1296.7,"2021-01-09T08:00:00+00:00",1610179200000,736861.1887
1308.8,1323.5,1301.3,1306.7,"2021-01-09T09:00:00+00:00",1610182800000,1291637.4669
1317.2,1330.4,1297.6,1308.8,"2021-01-09T10:00:00+00:00",1610186400000,1195645.6526
1318,1338.9,1308.7,1317.2,"2021-01-09T11:00:00+00:00",1610190000000,320134.0552
1319.6,1326.2,1308.8,1318,"2021-01-09T12:00:00+00:00",1610193600000,59901.833
1318,1325.9,1312.3,1319.6,"2021-01-09T13:00:00+00:00",1610197200000,948998.7674
1318.5,1334.4,1316.1,1318,"2021-01-09T14:00:00+00:00",1610200800000,806636.647
1314.1,1323.1,1299.7,1318.5,"2021-01-09T15:00:00+00:00",1610204400000,187396.1482
1291.4,1319.7,1284,1314.1,"2021-01-09T16:00:00+00:00",1610208000000,410327.9909
1315,1318.8,1289.5,1291.4,"2021-01-09T17:00:00+00:00",1610211600000,362805.9768
1317.9,1326.1,1312.5,1315,"2021-01-09T18:00:00+00:00",1610215200000,32377.9628
1323.4,1332.1,1314.2,1317.9,"2021-01-09T19:00:00+00:00",1610218800000,29821.2681
1372.9,1375.4,1311.6,1323.4,"2021-01-09T20:00:00+00:00",1610222400000,945736.4807
1398.3,1402,1365.6,1372.9,"2021-01-09T21:00:00+00:00",1610226000000,1150416.6528
1391.8,1414.8,1381.4,1398.4,"2021-01-09T22:00:00+00:00",1610229600000,782001.7278
1382.8,1399,1374.4,1391.8,"2021-01-09T23:00:00+00:00",1610233200000,406012.6634
1399.7,1401.3,1382.8,1382.8,"2021-01-10T00:00:00+00:00",1610236800000,140099.9041
1440,1452.3,1395.2,1399.7,"2021-01-10T01:00:00+00:00",1610240400000,291410.0856
1459.2,1459.2,1427.5,1440,"2021-01-10T02:00:00+00:00",1610244000000,305389.4518
1424.5,1461.3,1420.8,1459.2,"2021-01-10T03:00:00+00:00",1610247600000,630172.9059
1430.8,1444.6,1420.2,1424.5,"2021-01-10T04:00:00+00:00",1610251200000,74288.6691
